,activity,before_break,date,day,h1,h2,h3,h4,h5,player,practice,type
3180,pre,True,2017-08-31 18:10:00,Thursday,1.0,1.0,0.0,0.0,0.0,def end,Oklahoma State Game,game
3179,pre,True,2017-08-31 18:10:00,Thursday,0.0,0.0,1.0,0.0,0.0,running back,Oklahoma State Game,game
3182,pre,True,2017-08-31 18:10:00,Thursday,2.0,1.0,0.0,0.0,0.0,linebacker,Oklahoma State Game,game
3181,pre,True,2017-08-31 18:10:00,Thursday,2.0,0.0,0.0,0.0,0.0,running back,Oklahoma State Game,game
3178,pre,True,2017-08-31 18:15:00,Thursday,1.0,0.0,0.0,0.0,0.0,off tackle,Oklahoma State Game,game
3177,pre,True,2017-08-31 18:15:00,Thursday,1.0,1.0,0.0,0.0,0.0,off guard,Oklahoma State Game,game
3176,pre,True,2017-08-31 18:15:00,Thursday,0.0,1.0,0.0,0.0,0.0,linebacker,Oklahoma State Game,game
2993,pre,True,2017-09-05 15:25:00,Tuesday,0.0,1.0,0.0,0.0,0.0,def tackle,Louisiana #1,tues
2992,pre,True,2017-09-05 15:35:00,Tuesday,2.0,2.0,1.0,1.0,1.0,off guard,Louisiana #1,tues
2988,pre,True,2017-09-05 15:40:00,Tuesday,1.0,1.0,0.0,0.0,0.0,linebacker,Louisiana #1,tues
2991,pre,True,2017-09-05 15:40:00,Tuesday,3.0,1.0,0.0,0.0,0.0,tight end,Louisiana #1,tues
2990,pre,True,2017-09-05 15:40:00,Tuesday,2.0,1.0,0.0,0.0,0.0,def tackle,Louisiana #1,tues
2989,pre,True,2017-09-05 15:40:00,Tuesday,0.0,2.0,1.0,1.0,0.0,off guard,Louisiana #1,tues
2885,pre,True,2017-09-06 15:35:00,Wednesday,1.0,0.0,0.0,0.0,0.0,off guard,Louisiana #2,wed
2884,pre,True,2017-09-06 15:40:00,Wednesday,1.0,0.0,0.0,0.0,0.0,linebacker,Louisiana #2,wed
2883,pre,True,2017-09-06 15:40:00,Wednesday,1.0,0.0,0.0,0.0,0.0,tight end,Louisiana #2,wed
2882,pre,True,2017-09-06 15:40:00,Wednesday,0.0,0.0,1.0,0.0,0.0,off tackle,Louisiana #2,wed
