,activity,before_break,date,day,h1,h2,h3,h4,h5,player,practice,type
267,pre,True,2017-11-22 14:05:00,Wednesday,1.0,0.0,0.0,0.0,0.0,running back,Temple #2,wed
266,pre,True,2017-11-22 14:05:00,Wednesday,0.0,1.0,0.0,0.0,0.0,off guard,Temple #2,wed
268,pre,True,2017-11-22 14:05:00,Wednesday,1.0,1.0,0.0,0.0,0.0,off tackle,Temple #2,wed
265,pre,True,2017-11-22 14:10:00,Wednesday,2.0,0.0,0.0,0.0,0.0,off guard,Temple #2,wed
264,pre,True,2017-11-22 14:10:00,Wednesday,0.0,0.0,1.0,0.0,0.0,off tackle,Temple #2,wed
263,pre,True,2017-11-22 14:10:00,Wednesday,1.0,0.0,0.0,0.0,0.0,off tackle,Temple #2,wed
217,pre,True,2017-11-23 08:25:00,Thursday,1.0,0.0,0.0,0.0,0.0,def tackle,Temple #3,thurs
216,pre,True,2017-11-23 08:35:00,Thursday,1.0,0.0,0.0,0.0,0.0,tight end,Temple #3,thurs
215,pre,True,2017-11-23 08:35:00,Thursday,1.0,0.0,1.0,0.0,0.0,off guard,Temple #3,thurs
180,pre,True,2017-11-25 14:05:00,Saturday,0.0,1.0,0.0,0.0,0.0,wide receiver,Temple Game,game
179,pre,True,2017-11-25 14:15:00,Saturday,1.0,0.0,0.0,0.0,0.0,wide receiver,Temple Game,game
178,pre,True,2017-11-25 14:15:00,Saturday,1.0,1.0,0.0,0.0,0.0,wide receiver,Temple Game,game
177,pre,True,2017-11-25 14:25:00,Saturday,0.0,0.0,0.0,1.0,0.0,running back,Temple Game,game
176,pre,True,2017-11-25 14:25:00,Saturday,0.0,1.0,0.0,0.0,0.0,off guard,Temple Game,game
175,pre,True,2017-11-25 14:25:00,Saturday,1.0,1.0,0.0,0.0,0.0,cornerback,Temple Game,game
174,pre,True,2017-11-25 14:25:00,Saturday,1.0,0.0,0.0,0.0,0.0,off guard,Temple Game,game
173,pre,True,2017-11-25 14:25:00,Saturday,1.0,1.0,0.0,0.0,0.0,tight end,Temple Game,game
166,pre,True,2017-11-25 14:30:00,Saturday,1.0,0.0,0.0,0.0,0.0,linebacker,Temple Game,game
165,pre,True,2017-11-25 14:30:00,Saturday,2.0,1.0,0.0,0.0,0.0,def end,Temple Game,game
168,pre,True,2017-11-25 14:30:00,Saturday,1.0,0.0,0.0,0.0,0.0,off guard,Temple Game,game
167,pre,True,2017-11-25 14:30:00,Saturday,1.0,1.0,0.0,0.0,0.0,wide receiver,Temple Game,game
172,pre,True,2017-11-25 14:30:00,Saturday,2.0,1.0,1.0,0.0,0.0,def end,Temple Game,game
171,pre,True,2017-11-25 14:30:00,Saturday,1.0,1.0,0.0,0.0,0.0,linebacker,Temple Game,game
169,pre,True,2017-11-25 14:30:00,Saturday,0.0,2.0,0.0,0.0,0.0,running back,Temple Game,game
170,pre,True,2017-11-25 14:30:00,Saturday,1.0,0.0,0.0,0.0,0.0,def tackle,Temple Game,game
164,pre,True,2017-11-25 14:35:00,Saturday,0.0,0.0,1.0,0.0,0.0,linebacker,Temple Game,game
163,pre,True,2017-11-25 14:35:00,Saturday,0.0,1.0,0.0,0.0,0.0,def end,Temple Game,game
162,pre,True,2017-11-25 14:35:00,Saturday,2.0,0.0,0.0,0.0,0.0,off guard,Temple Game,game
161,pre,True,2017-11-25 14:35:00,Saturday,1.0,0.0,0.0,0.0,0.0,off tackle,Temple Game,game
160,pre,True,2017-11-25 14:35:00,Saturday,0.0,1.0,0.0,0.0,0.0,off guard,Temple Game,game
158,pre,True,2017-11-25 14:35:00,Saturday,1.0,0.0,0.0,0.0,0.0,linebacker,Temple Game,game
157,pre,True,2017-11-25 14:35:00,Saturday,0.0,1.0,0.0,0.0,0.0,wide receiver,Temple Game,game
159,pre,True,2017-11-25 14:35:00,Saturday,1.0,0.0,0.0,0.0,0.0,running back,Temple Game,game
156,pre,True,2017-11-25 14:40:00,Saturday,1.0,0.0,2.0,0.0,0.0,running back,Temple Game,game
155,pre,True,2017-11-25 14:40:00,Saturday,1.0,0.0,0.0,0.0,0.0,cornerback,Temple Game,game
154,pre,True,2017-11-25 14:40:00,Saturday,1.0,2.0,0.0,0.0,0.0,cornerback,Temple Game,game
