,activity,before_break,date,event,h2,h3,h4,h5,player,type
2985,pre,True,2017-09-05 15:40:00,Louisiana #1,1,0,0,0,def tackle,tues
2984,pre,True,2017-09-05 15:40:00,Louisiana #1,2,1,1,0,off guard,tues
2983,pre,True,2017-09-05 15:40:00,Louisiana #1,1,0,0,0,linebacker,tues
2880,pre,True,2017-09-06 15:35:00,Louisiana #2,0,0,0,0,off guard,wed
2879,pre,True,2017-09-06 15:40:00,Louisiana #2,0,0,0,0,linebacker,wed
2878,pre,True,2017-09-06 15:40:00,Louisiana #2,0,0,0,0,tight end,wed
2876,pre,True,2017-09-06 15:40:00,Louisiana #2,2,0,1,0,off guard,wed
2875,pre,True,2017-09-06 15:40:00,Louisiana #2,3,0,0,0,def tackle,wed
2877,pre,True,2017-09-06 15:40:00,Louisiana #2,0,1,0,0,off tackle,wed
2787,post,False,2017-09-06 17:40:00,Louisiana #2,0,0,0,0,safety,wed
2786,pre,True,2017-09-07 15:30:00,Louisiana #3,0,0,0,0,safety,thurs
2782,pre,True,2017-09-07 15:35:00,Louisiana #3,0,0,0,0,def end,thurs
2784,pre,True,2017-09-07 15:35:00,Louisiana #3,0,0,0,0,off guard,thurs
2785,pre,True,2017-09-07 15:35:00,Louisiana #3,1,0,0,0,tight end,thurs
2783,pre,True,2017-09-07 15:35:00,Louisiana #3,1,0,0,0,def tackle,thurs
2781,pre,True,2017-09-07 15:40:00,Louisiana #3,0,0,0,0,off guard,thurs
2780,pre,True,2017-09-07 15:40:00,Louisiana #3,1,0,0,0,wide receiver,thurs
2779,pre,True,2017-09-07 15:40:00,Louisiana #3,0,0,0,0,def end,thurs
2778,pre,True,2017-09-07 15:40:00,Louisiana #3,0,0,0,0,def end,thurs
2723,pre,True,2017-09-09 14:30:00,Louisiana Game,1,0,0,0,wide receiver,game
2722,pre,True,2017-09-09 14:30:00,Louisiana Game,0,0,0,0,cornerback,game
2721,pre,True,2017-09-09 14:30:00,Louisiana Game,0,0,0,0,tight end,game
2713,pre,True,2017-09-09 14:35:00,Louisiana Game,1,0,0,0,tight end,game
2714,pre,True,2017-09-09 14:35:00,Louisiana Game,0,0,0,0,safety,game
2715,pre,True,2017-09-09 14:35:00,Louisiana Game,0,0,0,0,cornerback,game
2718,pre,True,2017-09-09 14:35:00,Louisiana Game,0,1,3,1,linebacker,game
2719,pre,True,2017-09-09 14:35:00,Louisiana Game,1,0,0,0,running back,game
