,event,day,player,pcode,ptype,h2,h3,h4,h5,sum24,num_players,minutes,plyrmnts
25,Louisiana Game,2017-09-09,safety,safety,defensive,3.8223516563523847,2.184200946487077,0.5460502366217692,1.0921004732435384,6.552602839461231,2,27.47,54.94
44,Navy Game,2017-09-30,safety,safety,defensive,1.514004542013626,4.5420136260408785,0.757002271006813,0.757002271006813,6.813020439061318,1,39.629999999999995,39.629999999999995
54,New Mexico Game,2017-09-23,safety,safety,defensive,2.1087160262417997,3.514526710402999,0.7029053420805998,0.0,6.3261480787253985,1,42.68,42.68
64,Oklahoma State Game,2017-08-31,safety,safety,defensive,4.500642948992714,1.2858979854264896,0.0,0.0,5.786540934419204,2,23.33,46.66
101,Toledo Game,2017-09-16,safety,safety,defensive,1.1705033164260632,1.1705033164260632,0.5852516582130316,0.0,2.926258291065158,2,25.630000000000003,51.260000000000005
