,activity,before_break,date,event,h2,h3,h4,h5,player,type
4394,inside/1on1,True,2017-08-02 10:15:00,fall camp practice #3,0.0,0.0,0.0,0.0,off guard,camp
4391,inside/1on1,True,2017-08-02 10:15:00,fall camp practice #3,0.0,0.0,0.0,0.0,off tackle,camp
4392,inside/1on1,True,2017-08-02 10:15:00,fall camp practice #3,0.0,0.0,0.0,0.0,tight end,camp
4393,inside,True,2017-08-02 10:15:00,fall camp practice #3,0.2,0.0,0.0,0.0,def tackle,camp
4395,inside,True,2017-08-02 10:15:00,fall camp practice #3,0.0,0.0,0.0,0.0,def tackle,camp
4401,1on1,True,2017-08-02 10:15:00,fall camp practice #3,0.0,0.0,0.0,0.25,safety,camp
4397,inside/1on1,True,2017-08-02 10:15:00,fall camp practice #3,0.1,0.0,0.0,0.0,running back,camp
4398,inside,True,2017-08-02 10:15:00,fall camp practice #3,0.2,0.2,0.0,0.0,def end,camp
4399,inside,True,2017-08-02 10:15:00,fall camp practice #3,0.2,0.0,0.0,0.0,linebacker,camp
4400,inside/1on1,True,2017-08-02 10:15:00,fall camp practice #3,0.0,0.0,0.0,0.0,off guard,camp
4396,inside,True,2017-08-02 10:15:00,fall camp practice #3,0.0,0.0,0.0,0.2,linebacker,camp
4390,skell vs. def,True,2017-08-02 10:20:00,fall camp practice #3,0.1,0.1,0.0,0.0,tight end,camp
4389,team situation,True,2017-08-02 10:30:00,fall camp practice #3,0.1111111111111111,0.0,0.0,0.0,safety,camp
4383,team situation,True,2017-08-02 10:35:00,fall camp practice #3,0.2,0.0,0.0,0.0,tight end,camp
4385,team situation,True,2017-08-02 10:35:00,fall camp practice #3,0.0,0.0,0.0,0.0,linebacker,camp
4384,team situation,True,2017-08-02 10:35:00,fall camp practice #3,0.1,0.0,0.0,0.0,off tackle,camp
4388,team situation,True,2017-08-02 10:35:00,fall camp practice #3,0.1111111111111111,0.0,0.0,0.0,def end,camp
4386,team situation,True,2017-08-02 10:35:00,fall camp practice #3,0.1111111111111111,0.0,0.0,0.0,linebacker,camp
4387,team situation,True,2017-08-02 10:35:00,fall camp practice #3,0.0,0.0,0.0,0.0,def tackle,camp
4382,team situation,False,2017-08-02 10:40:00,fall camp practice #3,0.0,0.0,0.0,0.0,linebacker,camp
4381,team situation,False,2017-08-02 10:40:00,fall camp practice #3,0.0,0.0,0.0,0.0,off guard,camp
4380,skell vs. def,False,2017-08-02 10:55:00,fall camp practice #3,0.0,0.0,0.0,0.0,off guard,camp
4379,team w/ 3s,False,2017-08-02 11:00:00,fall camp practice #3,0.1,0.1,0.1,0.0,tight end,camp
4378,team w/ 3s,False,2017-08-02 11:00:00,fall camp practice #3,0.0,0.1,0.0,0.0,off guard,camp
4377,team w/ 3s,False,2017-08-02 11:00:00,fall camp practice #3,0.2,0.0,0.0,0.0,off tackle,camp
4370,team vs. def,False,2017-08-02 11:05:00,fall camp practice #3,0.1,0.0,0.0,0.0,running back,camp
4371,team vs. def,False,2017-08-02 11:05:00,fall camp practice #3,0.0,0.0,0.0,0.0,wide receiver,camp
4372,team vs. offense,False,2017-08-02 11:05:00,fall camp practice #3,0.0,0.1111111111111111,0.0,0.0,cornerback,camp
4374,team vs. offense,False,2017-08-02 11:05:00,fall camp practice #3,0.0,0.2222222222222222,0.0,0.0,def end,camp
4375,team vs. def,False,2017-08-02 11:05:00,fall camp practice #3,0.1,0.1,0.0,0.0,tight end,camp
4376,team vs. offense,False,2017-08-02 11:05:00,fall camp practice #3,0.1111111111111111,0.1111111111111111,0.0,0.0,linebacker,camp
4373,team vs. def,False,2017-08-02 11:05:00,fall camp practice #3,0.1,0.1,0.0,0.0,tight end,camp
4364,team vs. offense,False,2017-08-02 11:10:00,fall camp practice #3,0.1111111111111111,0.0,0.0,0.0,def end,camp
4363,team vs. offense,False,2017-08-02 11:10:00,fall camp practice #3,0.1111111111111111,0.0,0.0,0.0,cornerback,camp
4365,team vs. offense,False,2017-08-02 11:10:00,fall camp practice #3,0.0,0.0,0.0,0.0,def tackle,camp
4368,team vs. offense,False,2017-08-02 11:10:00,fall camp practice #3,0.0,0.0,0.0,0.0,def tackle,camp
4367,team vs. offense,False,2017-08-02 11:10:00,fall camp practice #3,0.0,0.1111111111111111,0.0,0.0,safety,camp
4366,team vs. def,False,2017-08-02 11:10:00,fall camp practice #3,0.1,0.0,0.0,0.0,off guard,camp
4369,team vs. def,False,2017-08-02 11:10:00,fall camp practice #3,0.0,0.0,0.0,0.0,running back,camp
4362,team vs. offense,False,2017-08-02 11:15:00,fall camp practice #3,0.0,0.1111111111111111,0.0,0.0,safety,camp
4361,team vs. def,False,2017-08-02 11:15:00,fall camp practice #3,0.0,0.0,0.0,0.0,off tackle,camp
4360,team vs. def,False,2017-08-02 11:15:00,fall camp practice #3,0.0,0.1,0.0,0.0,running back,camp
4359,team vs. def,False,2017-08-02 11:15:00,fall camp practice #3,0.1,0.0,0.0,0.0,off guard,camp
4358,team vs. offense,False,2017-08-02 11:15:00,fall camp practice #3,0.0,0.0,0.2222222222222222,0.0,linebacker,camp
4357,team vs. def,False,2017-08-02 11:15:00,fall camp practice #3,0.2,0.0,0.0,0.0,tight end,camp
4351,team vs. def,False,2017-08-02 11:20:00,fall camp practice #3,0.1,0.0,0.0,0.0,running back,camp
4350,team vs. offense,False,2017-08-02 11:20:00,fall camp practice #3,0.2222222222222222,0.0,0.0,0.0,linebacker,camp
4352,team vs. offense,False,2017-08-02 11:20:00,fall camp practice #3,0.1111111111111111,0.1111111111111111,0.0,0.0,def end,camp
