,activity,before_break,date,event,h2,h3,h4,h5,player,type
4362,inside/1on1,True,2017-08-02 10:15:00,fall camp practice #3,0.0,0.0,0.0,0.0,off tackle,camp
4363,inside/1on1,True,2017-08-02 10:15:00,fall camp practice #3,0.0,0.0,0.0,0.0,tight end,camp
4364,inside,True,2017-08-02 10:15:00,fall camp practice #3,0.5,0.0,0.0,0.0,def tackle,camp
4366,inside,True,2017-08-02 10:15:00,fall camp practice #3,0.0,0.0,0.0,0.0,def tackle,camp
4372,1on1,True,2017-08-02 10:15:00,fall camp practice #3,0.0,0.0,0.0,0.5,safety,camp
4368,inside/1on1,True,2017-08-02 10:15:00,fall camp practice #3,0.5,0.0,0.0,0.0,running back,camp
4369,inside,True,2017-08-02 10:15:00,fall camp practice #3,1.0,1.0,0.0,0.0,def end,camp
4370,inside,True,2017-08-02 10:15:00,fall camp practice #3,0.5,0.0,0.0,0.0,linebacker,camp
4371,inside/1on1,True,2017-08-02 10:15:00,fall camp practice #3,0.0,0.0,0.0,0.0,off guard,camp
4367,inside,True,2017-08-02 10:15:00,fall camp practice #3,0.0,0.0,0.0,0.5,linebacker,camp
4361,skell vs. def,True,2017-08-02 10:20:00,fall camp practice #3,0.5,0.5,0.0,0.0,tight end,camp
4360,team situation,True,2017-08-02 10:30:00,fall camp practice #3,0.5,0.0,0.0,0.0,safety,camp
4355,team situation,True,2017-08-02 10:35:00,fall camp practice #3,0.5,0.0,0.0,0.0,off tackle,camp
4356,team situation,True,2017-08-02 10:35:00,fall camp practice #3,0.0,0.0,0.0,0.0,linebacker,camp
4354,team situation,True,2017-08-02 10:35:00,fall camp practice #3,1.0,0.0,0.0,0.0,tight end,camp
4358,team situation,True,2017-08-02 10:35:00,fall camp practice #3,0.0,0.0,0.0,0.0,def tackle,camp
4357,team situation,True,2017-08-02 10:35:00,fall camp practice #3,0.5,0.0,0.0,0.0,linebacker,camp
4359,team situation,True,2017-08-02 10:35:00,fall camp practice #3,1.0,0.0,0.0,0.0,def end,camp
4353,team situation,False,2017-08-02 10:40:00,fall camp practice #3,0.0,0.0,0.0,0.0,linebacker,camp
4352,team situation,False,2017-08-02 10:40:00,fall camp practice #3,0.0,0.0,0.0,0.0,off guard,camp
4351,skell vs. def,False,2017-08-02 10:55:00,fall camp practice #3,0.0,0.0,0.0,0.0,off guard,camp
4350,team w/ 3s,False,2017-08-02 11:00:00,fall camp practice #3,0.5,0.5,0.5,0.0,tight end,camp
4349,team w/ 3s,False,2017-08-02 11:00:00,fall camp practice #3,0.0,0.5,0.0,0.0,off guard,camp
4348,team w/ 3s,False,2017-08-02 11:00:00,fall camp practice #3,1.0,0.0,0.0,0.0,off tackle,camp
4341,team vs. def,False,2017-08-02 11:05:00,fall camp practice #3,0.5,0.0,0.0,0.0,running back,camp
4342,team vs. def,False,2017-08-02 11:05:00,fall camp practice #3,0.0,0.0,0.0,0.0,wide receiver,camp
4343,team vs. offense,False,2017-08-02 11:05:00,fall camp practice #3,0.0,0.5,0.0,0.0,cornerback,camp
4345,team vs. offense,False,2017-08-02 11:05:00,fall camp practice #3,0.0,2.0,0.0,0.0,def end,camp
4346,team vs. def,False,2017-08-02 11:05:00,fall camp practice #3,0.5,0.5,0.0,0.0,tight end,camp
4347,team vs. offense,False,2017-08-02 11:05:00,fall camp practice #3,0.5,0.5,0.0,0.0,linebacker,camp
4344,team vs. def,False,2017-08-02 11:05:00,fall camp practice #3,0.5,0.5,0.0,0.0,tight end,camp
4335,team vs. offense,False,2017-08-02 11:10:00,fall camp practice #3,1.0,0.0,0.0,0.0,def end,camp
4334,team vs. offense,False,2017-08-02 11:10:00,fall camp practice #3,0.5,0.0,0.0,0.0,cornerback,camp
4336,team vs. offense,False,2017-08-02 11:10:00,fall camp practice #3,0.0,0.0,0.0,0.0,def tackle,camp
4339,team vs. offense,False,2017-08-02 11:10:00,fall camp practice #3,0.0,0.0,0.0,0.0,def tackle,camp
4338,team vs. offense,False,2017-08-02 11:10:00,fall camp practice #3,0.0,0.5,0.0,0.0,safety,camp
4337,team vs. def,False,2017-08-02 11:10:00,fall camp practice #3,0.5,0.0,0.0,0.0,off guard,camp
4340,team vs. def,False,2017-08-02 11:10:00,fall camp practice #3,0.0,0.0,0.0,0.0,running back,camp
4333,team vs. offense,False,2017-08-02 11:15:00,fall camp practice #3,0.0,0.5,0.0,0.0,safety,camp
4332,team vs. def,False,2017-08-02 11:15:00,fall camp practice #3,0.0,0.0,0.0,0.0,off tackle,camp
4331,team vs. def,False,2017-08-02 11:15:00,fall camp practice #3,0.0,0.5,0.0,0.0,running back,camp
4330,team vs. def,False,2017-08-02 11:15:00,fall camp practice #3,0.5,0.0,0.0,0.0,off guard,camp
4329,team vs. offense,False,2017-08-02 11:15:00,fall camp practice #3,0.0,0.0,1.0,0.0,linebacker,camp
4328,team vs. def,False,2017-08-02 11:15:00,fall camp practice #3,1.0,0.0,0.0,0.0,tight end,camp
4322,team vs. def,False,2017-08-02 11:20:00,fall camp practice #3,0.5,0.0,0.0,0.0,running back,camp
4321,team vs. offense,False,2017-08-02 11:20:00,fall camp practice #3,1.0,0.0,0.0,0.0,linebacker,camp
4323,team vs. offense,False,2017-08-02 11:20:00,fall camp practice #3,1.0,1.0,0.0,0.0,def end,camp
4325,team vs. def,False,2017-08-02 11:20:00,fall camp practice #3,0.0,0.0,0.0,0.0,off guard,camp
4326,team vs. offense,False,2017-08-02 11:20:00,fall camp practice #3,0.0,0.0,0.0,0.0,safety,camp
4327,team vs. def,False,2017-08-02 11:20:00,fall camp practice #3,0.0,0.0,0.0,0.0,off tackle,camp
4324,team vs. def,False,2017-08-02 11:20:00,fall camp practice #3,0.0,0.5,0.0,0.5,running back,camp
4320,team vs. offense,False,2017-08-02 11:25:00,fall camp practice #3,0.0,0.5,0.0,0.0,linebacker,camp
4319,team vs. def,False,2017-08-02 11:25:00,fall camp practice #3,0.5,0.0,0.0,0.0,off guard,camp
4318,team vs. offense,False,2017-08-02 11:25:00,fall camp practice #3,0.0,0.5,0.0,0.0,cornerback,camp
4317,pre,True,2017-08-03 09:35:00,fall camp practice #4,0.5,0.5,0.0,0.0,tight end,camp
4310,indy,True,2017-08-03 09:50:00,fall camp practice #4,0.5,0.0,0.0,0.0,def tackle,camp
4311,indy,True,2017-08-03 09:50:00,fall camp practice #4,0.5,0.0,0.0,0.0,tight end,camp
4312,indy,True,2017-08-03 09:50:00,fall camp practice #4,0.0,0.5,0.0,0.0,off tackle,camp
4315,indy,True,2017-08-03 09:50:00,fall camp practice #4,0.0,0.0,0.0,0.0,off guard,camp
4314,indy,True,2017-08-03 09:50:00,fall camp practice #4,0.0,0.0,0.0,0.0,def end,camp
4316,indy,True,2017-08-03 09:50:00,fall camp practice #4,0.5,0.0,0.0,0.0,def end,camp
4313,indy,True,2017-08-03 09:50:00,fall camp practice #4,0.5,0.0,0.0,0.0,off guard,camp
4303,indy,True,2017-08-03 09:55:00,fall camp practice #4,0.5,0.0,0.0,0.0,def tackle,camp
4304,indy,True,2017-08-03 09:55:00,fall camp practice #4,0.5,0.0,0.0,0.0,def tackle,camp
4305,otb,True,2017-08-03 09:55:00,fall camp practice #4,0.0,1.0,0.0,0.0,tight end,camp
4307,otb,True,2017-08-03 09:55:00,fall camp practice #4,0.0,0.0,0.0,0.0,off tackle,camp
4308,otb,True,2017-08-03 09:55:00,fall camp practice #4,0.0,0.0,0.0,0.0,off guard,camp
4309,indy,True,2017-08-03 09:55:00,fall camp practice #4,0.0,0.5,0.0,0.0,def end,camp
4306,indy,True,2017-08-03 09:55:00,fall camp practice #4,0.0,0.0,0.0,0.0,def end,camp
4302,vice pursuit,True,2017-08-03 10:00:00,fall camp practice #4,0.5,0.0,0.0,0.0,linebacker,camp
4301,indy,True,2017-08-03 10:05:00,fall camp practice #4,0.0,0.0,0.0,0.0,def end,camp
4300,indy,True,2017-08-03 10:05:00,fall camp practice #4,0.0,0.5,0.0,0.0,def end,camp
4299,inside/1on1,True,2017-08-03 10:10:00,fall camp practice #4,0.5,0.0,0.0,0.0,off tackle,camp
4298,inside/1on1,True,2017-08-03 10:10:00,fall camp practice #4,0.5,0.0,0.0,0.0,tight end,camp
4297,inside,True,2017-08-03 10:10:00,fall camp practice #4,0.5,0.0,0.0,0.0,def end,camp
4296,inside/1on1,True,2017-08-03 10:10:00,fall camp practice #4,0.5,0.0,0.0,0.0,running back,camp
4283,inside,True,2017-08-03 10:15:00,fall camp practice #4,0.5,0.5,0.0,0.0,def tackle,camp
4288,inside,True,2017-08-03 10:15:00,fall camp practice #4,0.5,0.0,0.0,0.0,def end,camp
4286,inside/1on1,True,2017-08-03 10:15:00,fall camp practice #4,0.5,0.0,0.0,0.0,tight end,camp
4287,inside/1on1,True,2017-08-03 10:15:00,fall camp practice #4,0.5,0.5,0.0,0.0,tight end,camp
4289,inside,True,2017-08-03 10:15:00,fall camp practice #4,0.5,0.5,0.0,0.0,def tackle,camp
4284,inside/1on1,True,2017-08-03 10:15:00,fall camp practice #4,0.5,0.5,0.0,0.0,off guard,camp
4291,1on1,True,2017-08-03 10:15:00,fall camp practice #4,0.0,0.5,0.0,0.0,safety,camp
4290,inside,True,2017-08-03 10:15:00,fall camp practice #4,0.5,0.0,0.0,0.0,linebacker,camp
4295,inside/1on1,True,2017-08-03 10:15:00,fall camp practice #4,0.0,0.5,0.0,0.0,running back,camp
4294,inside/1on1,True,2017-08-03 10:15:00,fall camp practice #4,0.5,0.0,0.0,0.0,off guard,camp
4285,inside/1on1,True,2017-08-03 10:15:00,fall camp practice #4,0.5,0.0,0.0,0.0,off tackle,camp
4293,inside,True,2017-08-03 10:15:00,fall camp practice #4,0.5,0.0,0.0,0.0,linebacker,camp
4292,inside/1on1,True,2017-08-03 10:15:00,fall camp practice #4,0.0,0.5,0.0,0.0,running back,camp
4282,skell vs. def,True,2017-08-03 10:20:00,fall camp practice #4,0.5,0.5,0.0,0.0,tight end,camp
4281,team situation,True,2017-08-03 10:35:00,fall camp practice #4,0.0,0.5,0.0,0.0,safety,camp
4280,team situation,True,2017-08-03 10:35:00,fall camp practice #4,0.5,0.0,0.0,0.0,off tackle,camp
4279,team situation,True,2017-08-03 10:35:00,fall camp practice #4,0.5,0.0,0.0,0.0,tight end,camp
4278,team situation,True,2017-08-03 10:35:00,fall camp practice #4,0.5,0.0,0.5,0.0,running back,camp
4277,team situation,True,2017-08-03 10:35:00,fall camp practice #4,0.5,0.0,0.0,0.0,def tackle,camp
4276,team situation,True,2017-08-03 10:35:00,fall camp practice #4,0.5,0.5,0.0,0.0,running back,camp
4275,team situation,True,2017-08-03 10:35:00,fall camp practice #4,0.5,0.0,0.0,0.0,linebacker,camp
4274,team situation,True,2017-08-03 10:35:00,fall camp practice #4,0.5,0.0,0.0,0.0,off guard,camp
4273,team situation,True,2017-08-03 10:35:00,fall camp practice #4,0.0,0.0,0.0,0.0,def end,camp
4272,team situation,True,2017-08-03 10:35:00,fall camp practice #4,0.0,0.0,0.0,0.0,linebacker,camp
4271,team situation,False,2017-08-03 10:40:00,fall camp practice #4,0.0,0.0,0.0,0.0,off guard,camp
4270,team situation,False,2017-08-03 10:40:00,fall camp practice #4,1.0,0.0,0.0,0.0,tight end,camp
4269,skell vs. def,False,2017-08-03 10:50:00,fall camp practice #4,0.5,0.5,0.0,0.0,tight end,camp
