,activity,before_break,date,event,h2,h3,h4,h5,pcode,player,ptype,type,day
4412,indy,pre,2017-08-02 09:50:00,fall camp practice #3,1.0,0.0,0.0,0.0,te,tight end,offensive,camp,2017-08-02
4411,indy,pre,2017-08-02 09:50:00,fall camp practice #3,0.0,0.0,0.0,0.0,ot,off tackle,offensive,camp,2017-08-02
4410,otb,pre,2017-08-02 09:55:00,fall camp practice #3,1.0,0.0,0.0,0.0,og,off guard,offensive,camp,2017-08-02
4409,otb,pre,2017-08-02 09:55:00,fall camp practice #3,2.0,0.0,0.0,0.0,te,tight end,offensive,camp,2017-08-02
4408,otb,pre,2017-08-02 09:55:00,fall camp practice #3,0.0,0.0,0.0,0.0,ot,off tackle,offensive,camp,2017-08-02
4407,otb,pre,2017-08-02 09:55:00,fall camp practice #3,1.0,0.0,0.0,0.0,og,off guard,offensive,camp,2017-08-02
4406,indy,pre,2017-08-02 10:00:00,fall camp practice #3,1.0,0.0,1.0,0.0,de,def end,defensive,camp,2017-08-02
4405,indy,pre,2017-08-02 10:00:00,fall camp practice #3,1.0,0.0,0.0,0.0,lb,linebacker,defensive,camp,2017-08-02
4404,indy,pre,2017-08-02 10:05:00,fall camp practice #3,3.0,0.0,0.0,0.0,lb,linebacker,defensive,camp,2017-08-02
4403,indy,pre,2017-08-02 10:05:00,fall camp practice #3,1.0,0.0,0.0,0.0,de,def end,defensive,camp,2017-08-02
4402,inside,pre,2017-08-02 10:10:00,fall camp practice #3,0.0,0.0,0.0,0.0,dt,def tackle,defensive,camp,2017-08-02
4394,inside/1on1,pre,2017-08-02 10:15:00,fall camp practice #3,0.0,0.0,0.0,0.0,og,off guard,offensive,camp,2017-08-02
4391,inside/1on1,pre,2017-08-02 10:15:00,fall camp practice #3,0.0,0.0,0.0,0.0,ot,off tackle,offensive,camp,2017-08-02
4392,inside/1on1,pre,2017-08-02 10:15:00,fall camp practice #3,0.0,0.0,0.0,0.0,te,tight end,offensive,camp,2017-08-02
4393,inside,pre,2017-08-02 10:15:00,fall camp practice #3,1.0,0.0,0.0,0.0,dt,def tackle,defensive,camp,2017-08-02
4395,inside,pre,2017-08-02 10:15:00,fall camp practice #3,0.0,0.0,0.0,0.0,dt,def tackle,defensive,camp,2017-08-02
