,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive
,all up,break,first half,indy,inside,kickoff,kor,otb,pap,pat/fg,post-practice,pre,punt,punt return,run session,run session-blitz,scrimmage,second half,skell vs. def scouts,team situation,team vs. def scouts,1on1,1on2,pass rush,team vs. scouts,all up,break,end,first half,goal line,indy,inside,line games,mix session,otb,pass rush,pat/fg,perimeter period,post-practice,pre,punt,punt return,run fit,run pursuit,run session,scrimmage,second half,specific def scheme,team situation,team vs. off scouts,1on1,kickoff,kor,red zone skell vs. scouts,skell vs. off scouts
name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico #2,2.0,5.0,,20.0,,8.0,,12.0,8.0,5.0,8.0,10.0,,,,15.0,,,24.0,,20.0,,,12.0,,2.0,5.0,,,,32.0,,,,,12.0,5.0,,8.0,20.0,,,8.0,,15.0,,,,,20.0,,8.0,,,24.0
New Mexico #3,2.0,,,40.0,,10.0,10.0,,,5.0,,10.0,10.0,10.0,,,,,,,55.0,,,,,2.0,,,,,52.0,,,,,,5.0,,,20.0,10.0,10.0,,,,,,,,43.0,,10.0,10.0,6.0,6.0
New Mexico Game,,15.0,95.0,,,,,,,,,60.0,,,,,,80.0,,,,,,,,,15.0,,95.0,,,,,,,,,,,60.0,,,,,,,80.0,,,,,,,,
Oklahoma State #1,2.0,5.0,,20.0,,,,12.0,,5.0,8.0,8.0,8.0,,15.0,,,,24.0,8.0,20.0,,,12.0,,2.0,5.0,,,,32.0,,,,,15.0,5.0,,8.0,8.0,8.0,,,,15.0,,,,8.0,20.0,,,,,27.0
Oklahoma State #2,2.0,5.0,,20.0,,,8.0,12.0,,5.0,8.0,8.0,,,,15.0,,,24.0,8.0,20.0,,,12.0,,2.0,5.0,,,,32.0,,,,,12.0,5.0,,8.0,18.0,,,,,15.0,,,,8.0,20.0,,,8.0,,24.0
Oklahoma State #3,2.0,5.0,,20.0,,,,12.0,8.0,5.0,8.0,8.0,8.0,,15.0,,,,24.0,8.0,20.0,,,12.0,,2.0,5.0,,,,32.0,,,,,12.0,5.0,,8.0,18.0,8.0,,,,23.0,,,,8.0,20.0,,,,,24.0
Oklahoma State #5,2.0,5.0,,20.0,,,,12.0,,5.0,8.0,8.0,8.0,,,15.0,,,24.0,8.0,20.0,,,12.0,,2.0,5.0,,,,32.0,,,,,12.0,5.0,,8.0,18.0,,,,,15.0,,,,8.0,20.0,,,8.0,,24.0
Oklahoma State #6,2.0,5.0,,20.0,,,8.0,12.0,8.0,5.0,8.0,8.0,,,15.0,,,,24.0,8.0,20.0,,,12.0,,2.0,5.0,,,,32.0,,,,,12.0,5.0,,8.0,18.0,,,,,23.0,,,,8.0,20.0,,,8.0,,24.0
Oklahoma State #7,2.0,,,20.0,,10.0,,,,5.0,,10.0,10.0,,,,,,,,55.0,,,,,2.0,,,,,32.0,,,,,,5.0,,,10.0,10.0,,,,,,,,,43.0,,10.0,,6.0,6.0
Oklahoma State Game,,5.0,110.0,,,,,,,,,60.0,,,,,,100.0,,,,,,,,,5.0,,110.0,,,,,,,,,,,60.0,,,,,,,100.0,,,,,,,,
